level,date,purchased,review
Level 2. Rookie,Updated on 20 Jan 2021,Purchased,"Their service used to be a lot better when they first started! I even recommended my mum and my friends to join CL. Fast forward 2 to 3 years and their service experience are no longer what it used to be! Their so-called Happiness Experts are slow to respond and are generally unhelpful! When they do respond, they ignore responding to your queries with almost standard replies and the terse, insincerity that lacks the warmth and empathy! Lethargic! I requested them to give my mum (she is 93 years old and is quite smartphone savvy) the same promo they gave me but they said 'no'! They gave her a 3-month unlimited data freebie but I told them that my mum has more than enough data. It took 2 attempts (and almost 2 weeks of clunky email communication) before they finally helped my mum! When you have a problem and need to speak to someone on the phone, you are not likely to succeed! I am a very disappointed user!"
Level 2. Rookie,Updated on 20 Jan 2021,None,"[Billing & Customer Service] The concept of a no contract Combo Plan was really intriguing but the execution and communication of this unorthodox billing method could have been clearer. For example, I don't understand why even as I am paying for my phone via installments the entire amount is blocked off from my credit card? It's identical to having selected the upfront option with the exception that it's deductible every month. This however is a small gripe that I can live with as the agents who assisted me were patient enough to explain the process. "
Level 4. Prodigy,Updated on 19 Jan 2021,None,"Generally, the service and network are OK considering the price. I cannot use rate it one star because of one customer support (but still). Still an active customer for a very long time. Changing to 1 star after contacting Customer Support"
Level 3. Wonderkid,Updated on 18 Jan 2021,Purchased,"There was some delay with the vouchers but I spoke with one of the agents, Kai via DM and he got me the codes within the night! Really good service and even now months later I am happy with the 50GB I have."
Level 2. Rookie,Updated on 08 Jan 2021,Purchased,"[Customer Service] If I were to say only one thing about Circles, it would be about their awesome customer service. In the 2+ years I have been with them, I've contacted them with queries about everything from billing to promotions and every single time they've responded promptly with the utmost professionalism I have not seen in other businesses for a long time.  Sure, more can be done for loyal customers as I've been denied access to certain promos specifically for new customers before but I also see that they have launched similar features for their customers. Now I get monthly rewards from their quest update and they recently upgraded my waiver so that I enjoy $18 forever. I think any other telco would be hard pressed to do that since such a move will surely impact their revenue but Circles has always been an unconventional brand that never played by the rules since the very start. "
Level 2. Rookie,Updated on 07 Jan 2021,Purchased,I got the $5 plan for my dad to use and it was a little frustrating at first as I couldn't find the plan on their website. I reached out to customer service for help and they immediately redirected me to the page to sign up. It has been smooth sailing ever since. Number was transferred without an issue and I downloaded the app for him so I can monitor his usage in case he calls his kakis too much. Would be nice if I could manage multiple plans from one phone but otherwise I think their $5 plan works for seniors!
Level 2. Rookie,Updated on 06 Jan 2021,Purchased,[Customer Service] I really cannot tahan some of the customer service from other telcos but with circles they managed to solve a billing issue with a full refund in the span of 2 hours. Some other bloody telco 2 hours also cannot get on the phone with them...
Level 2. Rookie,Updated on 06 Jan 2021,Purchased,"I dun understand why the network causes me to restart my phone every time it stuck on loading. And worse, when people calls me, unable to get thru. Whats the meaning of this?!! And more worse Circle Life wants our money and service sucks!!!"
Level 2. Rookie,Updated on 04 Jan 2021,Purchased,- Wasn’t receiving any OTP to my old number after successfully porting in. Turns out that I had to make some changes at settings (shoutout to the customer response team for helping me with this!) 
Level 2. Rookie,Updated on 29 Dec 2020,None,"The app had a bug and did not allow me to do the online porting. I reached out to the customer service but they kept asking me to do it on the app. Passed me to several different people to try to have it resolved. In the end they agreed to do manual porting, but gave me the wrong form to fill. I highlighted this but they said it’s ok. Then the next day a new person tell me that it’s not ok. I have to fill in a different form. They also changed the registration name on my app. When I asked them to change it back, they say it will disappear once the number has been ported. However it didn’t happen. They whole proce"
Level 3. Wonderkid,Updated on 28 Dec 2020,Purchased,[Customer Service] really very bad CS. need to wait for their replies. 
Level 2. Rookie,Updated on 26 Dec 2020,Purchased,They're on M1s mobile network which unlike their wifi services is miles better thank God! Been using it for the past week and no complaints so far.
Level 2. Rookie,Updated on 25 Dec 2020,Purchased,"Worst telco service i have experienced so far. Please stay away. on the 3rd month of subscription, circle life wrongly charged me a small amount and I also experienced a week service disruption. after contacting support many times, they agreed to refund me the wrongly charged amount, and I terminated the service due to the poor experience. I tried to follow up in mid-Dec on the agreed refund, and keep getting replies they are not going to refund me because 1. the charges are already recorded in advance and 2. I have terminated the service so for goodness sake circle life help your customer understand your logic here?? Due to your own fault, you are not refunding leaving customers the wrongly charged amount??"
Level 2. Rookie,Updated on 23 Dec 2020,Purchased,"I faced poor internet connectivity (at home, not to mention in the MRT tunnel) and poor call quality (multiple call drops and people can’t hear me for the first few seconds I pick up the call), contacted customer service that referred me to their Network Team but it wasn’t helpful at all because their conclusion was “ we were able to check that a nearby serving site is available and no abnormalities were detected”. "
Level 2. Rookie,Updated on 21 Dec 2020,Purchased,"[Customer Service] Didn’t always contact the customer service but when I do, the staff are very much knowledgeable and they will rectify the issue with you fast. To be honest, I just have to key in my personal particulars and that’s it. It was really fast. Porting over to Circles.Life is my best decision ever."
Level 2. Rookie,Updated on 19 Dec 2020,None,"[Customer Service] The worst customer service ever, even on the chat the person (Rupert) takes way too long to reply, and their billing system is so weird they bill the phone and the data plan separately. Please don't use them (and Singtel), stick to M1 or starhub."
Level 2. Rookie,Updated on 17 Dec 2020,Purchased,Customer Service are top notch definitely.
Level 2. Rookie,Updated on 08 Dec 2020,Purchased,"[Customer Service] they are the best customer service telco in town. Fast, Responsive, Polite, Experienced & very Knowledgeable when handling my issue."
Level 3. Wonderkid,Updated on 05 Dec 2020,Purchased,"[Customer Service] I must admit their customer service is very responsive. However, when I have questions during the port out process, they are not really helpful."
Level 2. Rookie,Updated on 25 Nov 2020,Purchased,An unfortunate horrible customer service experience at all the stage of the process. I wouldn’t recommend the company to anyone.
Level 3. Wonderkid,Updated on 22 Nov 2020,Purchased,"Switched over from M1 because it costs 40% lesser, for even more benefits! The switch saved me $20 every month. However, they will charge $0.05 for any incoming SMS, which is ridiculous to me because I get spam SMSes and/or delivery SMS/MMS quite often. The one thing that stands out is about their super fast customer service. Pretty much the same network and service for even less money!"
Level 2. Rookie,Updated on 14 Nov 2020,Purchased,Got their $0 base plan for my parents. Very thankful to this service as my parents dont use much data. This is a wonderful cost saver plan xD
Level 2. Rookie,Updated on 12 Nov 2020,None,"For a Telco that aspires to be a ""breath of fresh air"" to our local Telco scene, it had been an utterly disappointing experience, and this will probably be the end of my relationship with Circles.Life. I had been a customer with Circles.Life for more than a year, and the network coverage had been getting worse for some reason. To end off this terrible experience, I had an erroneous charge to my card because of a problem with the app. Since last week, I had raised this issue and the customer service exe"
Level 2. Rookie,Updated on 11 Nov 2020,Purchased,"The customer support is horrible, a lot of niceties worded into their script but they hang up very quick, close your case after some time period of not hearing even though they take even longer to get back. HORRIBLE!"
Level 2. Rookie,Updated on 08 Nov 2020,None,"[Customer Service] Spend money to join waitlist to preorder iPhone 12 pro max is a brain less system I had seen ever. Go and ask the customer service in messenger before the pre order date keep told me just wait for the email which will send to customer when preorder is ready. Wait for 10 minutes from the beginning of the preorder, no emailed have been sent to us. Where is the promised? customer service? Where is the email to show the procedure to pre order who had joined the waitlist? Brianless system. Ask in the messenger for help on 9.08pm but wait until 1am get the first reply? What a good service. Marked up the phone by 100dollar said due to the lack of product have to use this 100 dollar to secure the phone? It’s fine but still have to wait for 1 month? Lmao. Apart from that, what is the purpose to have a join waitlist system? Ask us to paid but those who paid for it cannot get the phone earlier than who didn’t pay the money to join the waitlist? Well done Circles.Life. Bravo. To be proud of your team. Brain less."
Level 2. Rookie,Updated on 08 Nov 2020,Purchased,"I can see myself leaving CL, especially as price and service offerings becomes more competitive. Felt bad leaving a service that gave me the best CS experience out of all other service providers. But the iPhone 12 waitlist experience and poor signal strength making me miss calls/SMS/internet even when I'm at home is swaying me to other service providers especially when many WFH and requires a reliable way to contact others and be contacted. Albeit it comes with a year worth of phone insurance and $200 bill credit. Probably no one ever needs a phone insurance plan if you have a case and screen protector on and any other defects will be covered by Apple's 1 year warranty. $200 bill credit after the $100 price increment of the iPhone 12 as compared to the Apple store, makes up to $100 worth of bill credit, which is easily offset if you move from CL's $28 base plan to other service provider such as $20 GOMO plan and save $8/mth that has the same base data (40GB if you sign-up during promotion), more call time, SMS and on SingTel's network which has the highest coverage in SG. [Customer Service] Great CS support throughout my 2-3 years with CL. CSO can always give you a code if you felt that you've missed out on a certain ongoing deal that existing customers can't enjoy. They listened to your feedback and improve on their service, this is obvious when you see some of your feedback affected their plan and promotional offerings. Very customizable, easy to use and gives full control to activate/deactivate add-on services in a few taps. There's some fun feature such as daily polls that allows you to win prizes and missions that will increase your data. Some subtle ads that are disguised as exclusive benefits for CL users to enjoy, however, it's not those annoying ""in your face"" ads and it could be useful if you require those services."
Level 2. Rookie,Updated on 05 Nov 2020,Purchased,"[Customer Service] pathetic customer service. Booked a iPhone 12 Pro max and got billed for the booking fee and never received a receipt or acknowledgememt. Tried contacting the customer service several times and was informed everytime that the issue was reported to the ""back end team"". But never got a response in spite of raising the issue with chat, email and customer service number. "
Level 3. Wonderkid,Updated on 30 Oct 2020,Purchased,[Customer Service] Tried to sign up with them for the last 2 weeks and signed up my interest for the iPhone 12. Everything went seamless and they were great in sending me reminders (daily) to pay the waitlist fee (SG$ 50).
Level 5. Genius,Updated on 27 Oct 2020,Purchased,[Customer Service] Was charged for my registration fee but had to write emails to get my refund back. But at least they reply pretty quickly. 
Level 2. Rookie,Updated on 24 Oct 2020,Purchased,[Customer Service] 
Level 2. Rookie,Updated on 02 Oct 2020,Purchased,"Though Circles.Life Customer Service is Online, but it is one of the Best as compared to many Bigger Companies out there. Circles.Life Customer Service are responsive and follow up issues till closure."
Level 4. Prodigy,Updated on 02 Oct 2020,Purchased,"I been using Circles.Life , overall there are no issues with speed and network coverage. The best part is that almost everything can be done online and by ourselves - no need to speak to an agent. App works perfectly. I feel proud to be a customer of Circles Life. <3"
Level 7. Grand Master,Updated on 25 Sep 2020,Purchased,No connection issue and their staffs are always professional yet friendly!
Level 3. Wonderkid,Updated on 19 Sep 2020,Purchased,"Indoor coverage is a bit poorer compare to the others. But among the digital telco, Circles.Life is the only one provide VoLTE service, this is their advantage. [Customer Service] Super fast and responsive customer service. I could say their customer service is one of the best among all the telco. They are consistent and easy to reach. They deliver their promise most of the time. Too many information in the app makes the app seems messy. Can we log in the service portal by browser? What I know is cannot. If I were right, it's not so user-friendly. Hopefully the layout in the app could be improved, and hope they can implement a web portal allow us to log in by browser too. I couldn't say they offer the best value since they are other competitors offer even better choices. But they are definitely worth the value with their customer service quality. Personally, I don't like this kind of gimmick since it could lead to ""double standard"" sometime."
Level 3. Wonderkid,Updated on 19 Sep 2020,Purchased,Great customer service and attractive data plan. Only issue is poor connectivity in certain areas of Singapore
Level 2. Rookie,Updated on 15 Sep 2020,Purchased,[Customer Service] Customer Service officer Theresa was quick in responses and very helpful. Clear information was provided.
Level 2. Rookie,Updated on 06 Sep 2020,Purchased,A very big thank you to the customer support team. Answer to all my question and now I’m not in doubt. Thumbs up!
Level 2. Rookie,Updated on 03 Sep 2020,Purchased,It is difficult to locate live chat. Often take me some time to locate it. Not very user friendly. Also wish to have direct termination link to all service or options
Level 2. Rookie,Updated on 03 Sep 2020,Purchased,Mark from customers service is very helpful and is very efficient!! Keep up the good work Mark!  [Customer Service] Very good
Level 2. Rookie,Updated on 31 Aug 2020,Purchased,I am very happy with how seamless the porting of my old number was. The plan I chose is really value for my money and I am very pleased with the customer support I received on the live chat. I felt that a real human being was helping me rather than a robot. Thank you Circles.Life!
Level 2. Rookie,Updated on 28 Aug 2020,Purchased,Lorejane was super helpful! best customer service ever!! Instant help even at 1030pm on a friday night!!!! wow! superfantastic!!
Level 2. Rookie,Updated on 28 Aug 2020,Purchased,"[Customer Service] the customer service was very prompt and gave speedy replies that were very helpful, really recommended ☺✨"
Level 2. Rookie,Updated on 27 Aug 2020,Purchased,Credits to Lisa Lim and the team for following through the incident and fighting for the rights of a customer. Really appreciate for all the time and effort that Lisa has put in to resolve this case even during her personal off work hours. Well done! Extended gratitude to the management of Circles as well. Cheers!
Level 6. Master,Updated on 12 Aug 2020,Purchased,Used to be really good at first before they starting having very aggressive promos for new sign-ups while forgetting about their current customers. Was my first sim only plan but i've since switched.  -Customers service response is pretty fast. Don't have to worry about your queries going unanswered 
Level 2. Rookie,Updated on 09 Aug 2020,Purchased,"I have been a Circles.Life subscriber since April 2019. I must say that at the beginning, the quality of service by Circles was easily the best in the industry. Unfortunately, there has been an appalling and rapid decline in service standards since then culminating in my current review. I have encountered many issues with Circles, including overcharging, poor network and other issues, but my recent problem with them (as stated below) have convinced me to leave Circles."
Level 6. Master,Updated on 07 Aug 2020,Purchased,"The plan is super worth the value, great customer service on the app when I face issue with my bills. Can easily access my plan and customize and track usage on the app, the app has a really good user interface for users to navigate around. Moreover, they hold promotions sometimes for users on their app."
Level 4. Prodigy,Updated on 03 Aug 2020,Purchased,"Overall, provides pretty good value for the money and good service. "
Level 2. Rookie,Updated on 03 Aug 2020,Purchased,"Just a question Circle's life, my contract is approaching the 12th month and the pricing will revert to $28 instead of the $18. Do i have to port to another telco and port back again to enjoy the $10 discount to new customer?"
Level 6. Master,Updated on 02 Aug 2020,Purchased,"Circles has been the best telco provider I've ever used so far, primarily due to their quick onboarding service and strong digital presence. They have everything you need to monitor on the app and the app very easy to navigate as well. The only catch is that if you're someone who talks on the phone a lot, the additional bills may rack up fast!"
Level 3. Wonderkid,Updated on 28 Jul 2020,Purchased,Very good value for money - however not the best in term of connection and network. Would be great if that can be improved. Otherwise it a pretty good brand with excellent marketing  [Customer Service]
Level 2. Rookie,Updated on 24 Jul 2020,Purchased,"I think in terms of network, customer service, ease of porting, and especially the mobile app, Circles.Life has the best to offer!"
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,"100GB + rollover data really meets my needs, plus add their awesome customer service representatives that won't let you down."
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,[Customer Service] I have been Circles.Life customer for more than 2 years and I have never seen such great customer service. 
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,Circles.Life is great!  Offers flexible and affordable plans. Customer Service people are responsive and friendly. I'll recommend everyone to use it! :-)
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,"Awesome application! Super easy to use , I  would recommend 100% to my Friends and Relatives . Customer service are very friendly, helpful and professional."
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,The app is user friendly and plans can be changed with a touch of a button. Additional features such as Discover allow users to explore new experiences too. [Customer Service] Response was fast and friendly.
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,Customer Service staff are awesome!!! My issue got resolved immediately :) :) Will surely refer all of my friends and relatives!
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,"[Customer Service] Excellent customer service. All staff is friendly and efficient in handling customer inquiries. The circle's app is user friendly, very easy to navigate."
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,[Customer Service] Excellent staff. Very helpful! They're are really indeed called Black belt Experts. Planning to get one more sim because of not only of the service but the employees as well.
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,Have been using Circles.Life for almost 10 months now. All is well so far. Customer service is excellent and responsive. The app is also user friendly.
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,[Customer Service]  Customer service is wonderful and promotions for the new port ins are good. 
Level 2. Rookie,Updated on 16 Jul 2020,Purchased,[Customer Service] great! no issues. good experience
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,User Friendly App and Great Customer Service . Also my bill is almost half of what I used to pay with other telco.
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,The onboarding was seamless and service thus far has been good. Biggest selling point is the price point. Have gotten my family onto circles too.
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"[Customer Service] Wonderful people, very helpful."
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"[Customer Service] Excellent, friendly and thoughtful. Good UI and very user friendly."
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,Customer service amazing
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Good network speed and with 100GB plan I have disconnected my broadband wifi service and do all my work from laptop connecting to the phone hotspot which saves me around $60 a month, great service and good connection"
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Everything is solid with Circles.Life! Ease of use on the mobile app with useful features, ease of porting, superb customer service and easy billing - seriously no hassle! I'm a satisfied customer! In fact, my entire family is with Circles.Life! Keep it up!"
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Since it is completely digital, there is no hassle to contact customer service to disconnect any addon which can be done directly from the app."
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,[Customer Service] 
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Awesome network , app and customer support. Non nonsense telco provider, more companies should learnt from them."
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Awesome network! :) I highly recommended! easy, friendly user App! reliable customer support! thanks!"
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,Best telco :) Specially the Circles.Life application. It is very easy to use and so convenient. Easy as well to reach out to a customer support if needed. Highly recommended!
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Stellar customer service! I never had any issues after switching to Circles.Life, two thumbs up! Keep it up!"
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Nothing short of the absolute best mobile app experience: I've been with Circles for 2.5 years & the app only keeps improving - there's loads of thinking put into how to constantly improve the experience (+ on its other lifestyle etc. services beyond the telco experience!) [Customer Service] People here care and do their absolute best to put you first - it's not always perfect, no telco is, but these guys work harder than anyone else to put things right all the time."
Level 2. Rookie,Updated on 15 Jul 2020,None,[Customer Service] Great service by the circles team. Amazing work. 
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,- Haven't used their customer service so can't really comment
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"[Customer Service] Best ever. I had problems with my bill (Charged extra for some add-on I did not opt-in for) they immediately waived it no questions asked, took less than 5 mins to resolve. I also had some new joiner discount for 12 months when I joined. Then at my 1 year anniversary, they surprised me with another 12 months of the same discount. If that is not customer service, I don't know what is."
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,[Customer Service] Excellent customer service. Whenever I have a problem they have given very quick response.
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,[Customer Service] Awesome and fast customer service! Really easy to get a SIM card within minutes!! No long queue n long waiting time!
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Really smooth porting over process, customer service is prompt and pleasant :)"
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"Circles Life service is awesome, with a quick turnaround when I have queries. No more long waits on the line!"
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,Porting process was simple and seamless. No service disruptions and sim was delivered to me in a day!
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"[Customer Service] Fantastic customer service team. Real people, not bots."
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,Great network. Customer-friendly supports. Awesome perks. New promotions and offers for customers. Easy to understand process.
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"By far the best buying experience, online, easy, seamless porting within the day. Most of all, I won't have to wait on the phone with customer service team for small little queries... i can do everything on the app itself."
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,Been a customer for almost 3 years now. Super easy to port out of my previous telco. No network issues for me thus far and the app experience is great!!
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,"This changes the definition of what it means to be a telco or serve customers. Finally a telco for the people. No gimmicks, just plain simple promise of great customer experience (and great 30 chat on chat help)"
Level 2. Rookie,Updated on 15 Jul 2020,Purchased,Great Customer Service.
Level 2. Rookie,Updated on 25 Jun 2020,Purchased,"Even after contacting the Customer service team, their typical reply is that they will solve the issue for you and they try to dismiss you by sharing articles in their help section of their web-page. "
Level 4. Prodigy,Updated on 25 Jun 2020,Purchased,[Mobile App] Very smart and user friendly [Customer Service] Very responsive and helpful.
Level 2. Rookie,Updated on 24 Jun 2020,Purchased,Reasonably fast with customers enquiries but sometimes fell short of relevancy to our questions or doubts OR deliberated to swing our focus. BE CAREFUL WITH THEIR TACTICS OF WANTING CUSTOMERS TO UPGRADE PLANS. After aw
Level 3. Wonderkid,Updated on 24 Jun 2020,Purchased,[Customer Service] On app customer service was very fast and reliable.
Level 2. Rookie,Updated on 23 Jun 2020,Purchased,"[Customer Service] In my experience, the customer service was excellent. They tried their best to answer my questions and help me with my issues. I find the network connection to be bad in certain places especially some military camps. My friends with other teleco services in the same area don't experience the same issue. Otherwise, usually the connection is alright."
Level 3. Wonderkid,Updated on 23 Jun 2020,Purchased,The price plans are only beneficial for new customers until recent update of plans. No longer as competitive as they used to be.
Level 3. Wonderkid,Updated on 20 Jun 2020,Purchased,"[Network] [Customer Service] [Ease of porting] [Mobile App] [Ease of porting] As a loyal customer for about two years now, I can say I am satisfied with porting, the app (love the app), with the customer service (no complaints there) and affordable price. However, that being said, the network has been rather unreliable with spikes, slows, and in some areas, there is no signal at all!"
Level 4. Prodigy,Updated on 16 Jun 2020,Purchased,"[Customer Service] I fully love the service and proactiveness of circles life customer support. Miles better than the red telco, and Zillion light years better than Sim only provider gomo "
Level 2. Rookie,Updated on 12 Jun 2020,Purchased,By far the best ever. Always thankful to customers and have good promos. They give out gifts to customers and its really just the best
Level 4. Prodigy,Updated on 10 Jun 2020,Purchased,Very fast next day service 
Level 3. Wonderkid,Updated on 10 Jun 2020,Purchased,Porting was a little bit complicated but still manageable. Customer service a bit hard to reach because you can only speak with them via online chat. But the network speed is great! Faster than my home wifi so I use data at home sometimes. All in all Super worth it for the price I’m paying each month. Keep it up circles life!!
Level 2. Rookie,Updated on 09 Jun 2020,Purchased,"Been using CircleLife since Aug 2017, reason porting over cause felt cheated by previous provider every month paying 100$+ for unjustify data. Moving forward, tried CircleLife and LOVING IT !! Everything is a breeze, Customer Service Officers are good, very attentive and they do call/email u back for follow up. Only thing, if u are near borders, the network just sucks (eg: sembawang park)."
Level 3. Wonderkid,Updated on 08 Jun 2020,Purchased,Can improve the coverage areas especially hidden and underground areas. But they are now improving their services especially with the services that other telcos are offering to stay at the position now.
Level 3. Wonderkid,Updated on 08 Jun 2020,None,[Customer Service] 
Level 2. Rookie,Updated on 05 Jun 2020,Purchased,""" In the event the Customer terminates the Services or ports out before the end of a monthly Billing Cycle, the Customer will be obligated to pay the applicable charges for the remainder of the Billing Cycle."" I seeked help from the Circles.Life LiveChat, hoping they would be kind enough to reverse the charges. After consulting their team, their Customer Happiness Expert concluded that it was not possible. Basically, they just kept highlighting that particular clause back to me to deny my request. I requested for them to only charge me for the 100MB, but it got rejected too. "
Level 9. God of Wisdom,Updated on 02 May 2020,None,- no infra lightweight low cost operating model. So all service / add on via self service app. Which is must better than have to call CSO and wait for donkey years. best value for price paid and data  -no SMS when needed as some services still required. . So it becomes hidden cost.
Level 8. Wizard,Updated on 02 May 2020,None,"Overall, the service is pretty reliable (running on M1 network) and I look forward to more surprises (bonus data) from Circles.Life. My main line contract with Starhub will end this Dec, I'll then review the SIM-only plans to make an informed decision as to which telco I'll be using moving forward."
Level 3. Wonderkid,Updated on 28 Apr 2020,Purchased,[Customer Service] 
