,post_title,post_username,post,reply to
16,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",reddevil0728,why can be pes B????????,Blitzcy wrote: Y pes B?bbbbbb
17,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",OlympicDreamer,"Partial color blindness? Idk.  Pes B, Pes A. Will result in any difference in NS life anot?",NIL
18,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",reddevil0728,Not exactly...,"OlympicDreamer wrote: Partial color blindness? Idk.  Pes B, Pes A. Will result in any difference in NS life anot?"
19,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",OlympicDreamer,Can become officer or go for ranger coursE?,reddevil0728 wrote: Not exactly...
20,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",reddevil0728,can.......... but whether u can or not is another thing,OlympicDreamer wrote: Can become officer or go for ranger coursE?
21,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",OlympicDreamer,"Don't try, won't know.  Anyway, now must try my best to pass napfa first D:",reddevil0728 wrote: can.......... but whether u can or not is another thing
22,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",reddevil0728,U planning to sign?,"OlympicDreamer wrote: Don't try, won't know.  Anyway, now must try my best to pass napfa first D:"
23,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",GGGGGG,"Wah, so hiong ah you. IIRC, for PES B, once you fall under don't know what category cannot go for officer course. And also, doesn't mean you very on in BMT, you can go in officer course.","OlympicDreamer wrote: Don't try, won't know.  Anyway, now must try my best to pass napfa first D:"
24,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",SniperMarksman, Yup I think PES B2L2 ineligble for officer course? B1L1 should be eligible.,"GGGGGG wrote: Wah, so hiong ah you. IIRC, for PES B, once you fall under don't know what category cannot go for officer course. And also, doesn't mean you very on in BMT, you can go in officer course."
25,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",reddevil0728,Ya b2l2 consider non combat fit.,SniperMarksman wrote: Yup I think PES B2L2 ineligble for officer course? B1L1 should be eligible.
26,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",OlympicDreamer,"not planning to sign, just go officer and ranger for fun only.  I have Pes B1L1",reddevil0728 wrote: U planning to sign?
27,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",reddevil0728,"Officer still can understand, but Ranger??? Seriously??? Both ain't fun man.","OlympicDreamer wrote: not planning to sign, just go officer and ranger for fun only.  I have Pes B1L1"
28,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",GGGGGG,Think twice. Chiong sua is never nice. Haha.,NIL
29,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",andyjeewk,Army is only abt wayang. No one will say u very garang,GGGGGG wrote: Think twice. Chiong sua is never nice. Haha.
30,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",Onelastwish,,andyjeewk wrote: Army is only abt wayang. No one will say u very garang
31,"CMPB Enlistment Medical Checkup TOMORROW, no form, healthbooklet HOW?!",reddevil0728,andyjeewk wrote: Army is only abt wayang. No one will say u very garang rhymes.....,GGGGGG wrote: Think twice. Chiong sua is never nice. Haha.
