,content
68,"last year all ippt/rt got suspended for 1 or 2 months because of aloysius pang's death, don't know can remember or not."
69,why your quote so strange 1?
70,"Just need to book one ippt because for IPT, only the first and last session can be IPPT. But if you really want to go for more IPPT, the first 3 IPPT sessions will be payable for attendance. You can keep attending IPPTs until you get your desired Gold/Silver/Pass w incentive."
71,U welcome ! Hope my information can helps whoever facing the issue now.  I not sure will there be anymore changes AFTER this MINDEF MARCH financial year as i heard some rumors before CNY during my IPT session but from now .. clear asap first.
72,https://www.ns.sg/web/portal/nsmen/h...easures_in_fcc
73,"Natalie ah? Yesterday go ipt. She take blue band, sadly I took the red one."
74,"Hi, please see my previous post to correct your misunderstanding on this matter."
75,"no ""2 IPPT before your first IPT"".. only one.. unless you booked a separated IPPT"
76,"No diff one la. Just do normal, can do means can do haha Sent from Samsung SM-G975F using GAGT"
77,Not exactly...
78,window close before feb next year?
79,"I have friend who wants to do IPT like me, but his window closes some day in May. We're starting in March. So is it advisable for him to do IPPT first, then the remaining 9 IPT sessions? That way, at least have IPPT to cover and prevent default."
80,"If u book through the IPT option, shld be 6 and 7pm only. Will automatically change to IPT-IPPT Sent from ABCDEFG using GAGT"
81,Already served 3 LK and 2 HK ICTs and left with 5 HK ICTs.
82,"From the McDonalds's, cross the bridge, and then turn left. The IPT session begins at the first shelter you come across. It's roughly a 2-minute walk from the McDonald's."
83,"first time doing ipt, for those with experiences. if you do 9ipt session and the 10th ippt you failed do you have to do RT?"
84,"We always get spoon feed, they will send u letter in advance and then U just follow all instructions"
85,It seems is must do the FIT within the same windows.
86,"Just went for my 1st RT session, is there a way to book RT-IPPT for 8th session? or just book RT like normally?"
87,But I see most Mondays also no slot...  Sent from . using GAGT
88,Sian that mean fcc liao  Thanks
89,"on the 10th ipt session which is a IPT-IPPT, pass or fail doesn't matter.  However on your 1st ipt session which is also a IPT-IPPT and if you pass, you do not need to attend the remaining IPT sessions."
90,Thank man RocketBunny  I just ask my friend to help me and manage re-do to the 1+8+1 and throw away some Bedok IPT slot ...  whoever see it can faster book those empty slot.  6 more to session to go
91,Roger thanks  Sent from Your Nightmare using GAGT
92,Last time my Fren book RT in adv..then after he MR...he IN pro for RT kenna reject..say not in system liao.
93,"Agree, for khatib camp i usually just show them the sms and they dont even need to check the nominal roll which is a lot faster Sent from ABCDEFG using GAGT"
94,What happens if I book IPPT but never attend or manage to cancel my booking?
95,If u fail ippt but u finish another 9 FIT sessions considered window cleared. If u fail ippt but never finish FIT or pass IPPT in another attempt u get charged lo simple.
96,"Hi guys, I'll be going for my first RT session this week at 7pm at Maju. I'll be rushing from work so ETA is exactly 7pm. I'm afraid I'll be slightly late if there's a jam. Any idea what the cutoff time is for inpro?"
97,"up to CDF to decide lor, they say their guess is until CNY over. need to wait until confirmation  justme wrote: wah swee do what in the 25min?  I think they cancel all IPPT. those window closing one cham.. 25min for in pro, chit chat, then out pro"
98,Apparently green tag got BMI requirement. I tried to join in a previous session but was not allowed to as my BMI only 27. Haha
99,bestsinceday1 Junior Member  Join Date: Sep 2014 Posts: 25
100,Depends on your unit
101,"Hi, is there such a system change? I forgot to take my IPPT in September and now kena letter.. Thought can just continue with RT until next year September."
102,Can't you just go see a MO to inform that you are still seeking specialist consultation and is waiting hence you can't do RT?
103,"eh . . you got serve reservist one or not? u ish xdd or some ft? simi unfair for other reservist who complete usually those didnt complete 10 cycles are actually the most suffering one because unit no call back, ippt till 40 year is a nightmare man. everyone just wanna clear the 10 cycles, those holan bo tio call up is really feel sad for them"
104,"Thanks for your information. I think for our case, what we can do now is to book and attend an IPPT session and a few IPT sessions while at the same time seek help from our unit's OC/S8. I also agree that with a few IPPT/IPTs attended it would be much easier to negotiate."
105,"I was based on the earlier post by Greent: Greent wrote: Just came back for Bedok FCC and i ask some question after the instructor explain why SAT/SUN no IPPT etc. Hopefully the following answers can help some of you here and still good to ask them if any doubt cause i may heard wrongly. Q: Why SAT/SUN no IPT-IPPT ? A: The reason is HQ realize that the session start at 9.30am so by then finish about 10am+ and weather is going to be warm for 2.4km test. Q: Is this apply to all FCC on no IPT-IPPT A: Yes. ALL FCC will not conduct IPT-IPPT on SAT/SUN Q: Today mean we attend 1 training session right ? A: Yes. Today consider you attend 1 IPT session Q: So how are we going to clear the windows ? A: Our OC is going to HQ this tuesday to find out what is the solution for this impact that those unable to book all session so please check your NS portal on tuesday to find out more. Q: That's mean i still need to attend 10 IPT session la ? A: Right now the current planning is you need to HAVE AT LEAST 9 session of IPT (training) and 1 IPPT to clear your current windows. Q: Those unable to book a single IPPT session but can book 10 IPT how ? A: It's still consider you clear your windows. Q: Those cannot book 10 IPT how ? A: You need to book AT LEAST A IPPT session to void as defaulter. Unknown part *He didn't answer my question what if you book 5 IPT +1 IPPT but fail the IPPT and windows close* This one next week i ask. *He also mention RT resume on april ? Anyone can confirm ? Hope it helps you all. As from now, book at least 1 IPPT to avoid defaulter. Good luck Also not forgetting that currently none of the IPT slots have IPT-IPPT conducted. For us whose windows closed on Feb/March we might ended up not being able to take IPT-IPPT."
106,"Why clear 10 in different locations?  The normal person will just clock 9 sessions in safra gym nearest their house.  Then ippt just go through the motion . No pressure to pass   Posted from PCWX using A simple life, not a simple thing ðŸ™ðŸ»"
107,oic that is much better than last time liao
108,"Can I check how many RT sessions I need to do?  I always thought total is 20 sessions but when I checked, the system in NS portal says I need to complete 18 sessions and that I have done 16 out of 18 sessions. At first, I thought it was because of the 2 Rt-IPPT sessions I taken and were not counted among the 16 sessions, but I counted the 'Current Window Attendance' record and the 2 RT-IPPT sessions were indeed among the 16 sessions already taken."
109,Nope. 2.4km is a must-do.
110,Can't relate eastsider here confirm damn packed for tampines.
111,My window start last July  Sent from . using GAGT
112,u all seen any recuit back for reservice one??? I dun wan go back
113,"Is khatib FCC closed? Can't book ippt there, anyone know what is going on?"
114,Anyone went to bedok camp recently? are they still anal about dress code before entering camp for ipt/ippt?
115,"Hey guys, i have recently attended my first IPT-IPPT session and intended to go for the IPT in the park programme. I tried to ask the cisco instructors about the program but they said they dont know and that it is handled by other company. The NS portal also seem to be under maintenance.  Just want to check if anyone has experience attending such programme? For example, where to meet at marina bay? do they also issue colored bands for training? and how they generate the slip for attendance? Many thanks!"
116,Ran two rounds for mine then dropped out. See what your FI say loh. He tell us Min run two rounds lol
117,keep the uniform. there is always a chance they call u up again. as long u are <40. Return uniform is only for PES F or those reached 40.
118,How i know..thats what the Safety and conducting officers informed when the session starts..Only Khatib Camp no Ippt only training
119,"Anyone knows if for example I'm enlisting on 12 Aug 2020 but managed to pass ippt before enlisting according to their protocol and stuff so no issue.  I was told I will get another enlistment date soon. So, 12 Aug + 8 weeks later is enlistment date?  Anyone knows or has experienced same thing?"
120,why so? there are others who skip 1 year also.
121,Next year RT will be bad. Many who can't clear IPT have to go RT and the slots will be limited too. I can see many defaulters.
122,Now you have 2 years to complete your RT.
123,"Can I get incentives for year 0 ippt? If not, I won't bother going for it"
124,"4,8,17"
125,please create a different thread for your question / joke.
126,I think must 100% standard push up
127,"Looks like it has been raining on and off since the start of the new year till now, hence any attempts for ippt shall be postponed till further notice.  When do you guys think will be a good time to attempt ippt?"
128,Wait for around 5 days after your birthday to receive your waiver sms.
129,Maybe you can call the NS hotline again and request for your S8 or DYS8's contact details like email or contact number so that you can contact him directly.  Many years ago when I unknowingly defaulted my IPPT (due to me being in holding list for a long time prior to that) and kenna charged I also called the NS hotline and they conveyed my message to my unit's DYS8 and a few days later my DYS8 contacted me and told me that they will gave me a chance and I did not get charged in the end.
130,Will get one.  The army men probably deployed to do things covid related.
131,It only count as 1 ORNS activity in the same work year 
132,"Hi I am new to this forum.  I had completed only 9/10 ipt as shown in my ns portal but the status is shown as below:  ""You have Completed your IPT for your current window. You may continue to book sessions if you wish to improve your results.  Your next IPPT window will open on 1 Jul 2021.""  I did attempt a non-ict ippt (in the same window) before starting the ipt program, in this case, do i still have to attempt a non-ict ippt to clear my ippt for my current window?  I am scared cos they said ""Completed your IPT for your current window"" and not completed IPPT for current window, when the instructions says that ""The 10th IPT session (last) will remain as an IPPT attempt. Do book an IPPT session (not IPT) for this last session.""  Right now I am still thinking if i should attempt the non-ict ippt session that i booked for tomorrow night.  It's my first ippt window, so I am new to this and unsure if the message: ""You have Completed your IPT for your current window."" means that I am done for ippt requirement for current window.  I had already seek help from NS portal live chat service, but their operator replied that they will escalate to my unit and advise further, get back in 3-5 working days.  Any helpful replies will be good, thanks in advance."
133,Keen to know this as well
134,Not allowed.  Sent from ABCDEFG using GAGT
135,https://www.ns.sg/web/portal/nsmen/h...faulting-nsfit
136,Down for 3 weeks? Cannot be ah unless you only try on weekends.
137,thanks! I booked for my RT (which is supposed to be IPPT) at 6PM just now. is there a need to arrive like at 5PM? I've seen people take IPPT really early
138,"Don't stress yourself la. No point as 2020 really a roller coaster for everyone esp those jobless LL need to do this IPPT and scarified their income .... As your previous question, you should contact your S8/OC now than later as give them time to do review the case etc ...."
139,"ya, same here. Received a call from khatib fcc that this saturday's ippt is cancelled."
140,The carpark where they park the big vehicles haha
141,any idea on this? I've checked the website. they say IPPT open from 5PM to 9PM but.. lol
142,Normal RT.
143,who arrange FFI? unit?
144,"last time i dun declare, but got times where i just lie down and KO sleep during water break. but now old liao and got many loans to pay, dun want to die/injured over RT la, unless i am fully covered and insurance will fully pay."
145,"No. Its only on 8th and 14th session. So , likely RT defaulter since can't complete all sessions of RT. Sent from little piano world using GAGT"
146,"As long as it is not cancelled, the government deems it as safe? So you gotta make your own call."
147,"IPT-IPPT reporting timing is the timing that I booked? (e.g. 1800hrs). So in that sense, they are many different ippt time slots in one evening because there are quite a few ipt-ippt slots to choose from, right?"
148,"hi all. last year i took my ippt at khatib fcc.  the 2.4 quite jialat because of the sun and big wind. it is run around stadium track 6 rounds that kind. my running alr not v good but heng i passed.  this year i want try kranji fcc. the ippt route is it easier?? like maybe under shelter, etc??? quite concerned for running. for static stations i think every camp also use machine alr so pretty much the same"
149,"If you take a look in that MINDEF fb posts, many people have feedback that they are unable to book any IPT-IPPT sessions and not much slots are available except those on Mondays.  At least I am still able to book a IPT-IPPT session and I also plan to take IPT-IPPT and trigger IPT."
150,I am quite confused... Think they need to make clear whether we will be charged if we fail our IPPT. Don't think MINDEF/SAF is that stupid to make us abuse the system anyway.
151,I can see till 17 Feb only. All no slot
152,Oh IPT. Then i not sure liao. I book ippt  Posted from PCWX using SM-G973F
153,this was Oct 2018 should have been rolled out by mid 2019  https://www.straitstimes.com/singapo...pt-top-scorers
154,Actually those FCCs have enough lockers but majority of it cannot be locked.
155,still walking distance between the two though. Just need someone to confirm on the exact location.
156,"i can't complete my IPT if i don't push. If i go for RT, does it mean it clear 2 working years (this year and next year)?"
157,RT have not been resumed yet. Only IPT have resumed.
158,Yass.
159,"Guards can, Commando cannot."
160,U ooc from scs ft? Why?
161,"This is true I am, currently still serving in helldon camp :), poly batch will have a few from ite. I think jc batch maybe 1-3?"
162,Meaning what?
163,"Mob manning unfortunately applies to everyone, even NSFs once in unit,  until you ROD 🤧 ( however, if you’re lucky, you won’t get activated :D )"
164,"Looking to down pes. How to down pes ah,can advise pls."
165,OOT posting in BMT help. 
166,"Oh boy..hahaha, I remember sia, there was 2 parents and 1 incoming nsf who went up when he asked for volunteers, hahaha, he also jokingly ‘tekan’ the guy, rip sia..

Yeah, I have a chronic skin condition, but on the portal, it’s only my pes status, no excuses like stay-in or out, I doubt my condition is serious enough to stay out, so suck it up, but I hope to catch up on some studying or reading during NS, maybe think about Uni or smt."
167,"for me i was assigned from saf to govt hospital doc (took 1-2 months - pes E1 at the time) took another 2 months for the govt doctor to ask my MO to send me for med review at med board and took another 2-3 months before I see the MMI doctor for the review (though I saw 2 in the room - not sure if they were both docs or one was clear and the other doc) and another 1-2 months to be officially PES F'd by the medical board.

government bureaucracy at its finest, you need the doctors to be on the ball and hope there isnt a big queue. but generally govt is fine i never spent a penny on private since i was a poor recruit"
168,"MP vocation. Heard that there is a new MP commander or sth and that MP will now become stay in, more xiong etc? Anyone got any info?"
169,i understand. I can call the navy directly i guess. Thanks
170,"If I rmb correctly they usually ask those with sweaty palms to step aside, might still do or might wear gloves. Vocations they might not put you with explosives."
171,"What do you mean why leh? Its like someone say ""we are human"" and you ask ""why leh?"""
172,I’m enlisting on the same day and time so see you there I guess!
173,"Depends on when the next intake is, you can check on cmpb website. Can be a week to a few months"
174,"When I came back from my hospilization Leave (2 months), my coy already pop 1 month ago. So it was really just me and 1 more guy waiting in bunk at coyline for a post out. I think I only waited for 1 and a half weeks before I got posted out. Hope this helps. But the guy waiting with me was already waiting for 1 month and still no news. So in the end, it all comes down to luck and your pes status"
175,PTP and Confinement. 
176,"you talking about jc grade or sec sch grades?

my jc grades were CDEC lol. it’s pretty fked up.

did decently well in sec sch tho, so i teach at that level lah"
177,"Not really, but just wanted to see if anyone here knows"
178,"My friend deferred from ite as a cdo, post poly still cdo, so is very random."
179,B2 is everything except the most xiong - commando and guards.
180,"If you are set on signing on, you can choose to up pes. If you declare interest in signing on and your reason for pes C is quite mild, SAF can try to see if they can up oes you."
181,"Ah to be fair, the forgot to apply is cos I haven't enter BMT yet.  
Thanks and ah didn't realize the interview was on Saturday."
182,"Leap year. Since next year is a Leap year and I ord in 2021, will I get an extra OIL since I will be serving one additional day."
183,"4 weeks bmt, 5 weeks vocational training. Just relax. BMT will probably be the best part of your NS journey as a Pes C. After you're in your unit you'll miss kranji camp and the 4 hours per day you spend ironing bed and talking cock."
184,Well logically speaking just go get excuse everything and try to complete the 2 months. Then its just stay out clerk life everyday and u can wear gloves when using the keyboard
185,"A bit late, but better late than never.

Do yourself a favor and go to the A&E of IMH.  There's no point bothering with the chain of command as if your officer commanding really wants to, he could technically just pretend that you never did anything and ignore your request(s).  At this point, it's no longer about respecting military regimentation; it's about your wellbeing."
186,Wow what they work as and how much they earn
187,Later you kena Guards. Lol
188,You in this batch of Charlie?
189,I think in the end PES F is a big decision and likely will require medical board with you in present and an SAF specialist. Don’t think it ultimately matters whether public or private specialist memo.
190,Call navy recruitment Center bro
191,How to chut peng? Any idea guys?
192,They issue assault packs to PES C now? I rmb it was sling bags..
193,"pls don’t spew nonsense, most of those in NCC HQ got posted there coz they OOC from infantry pro term. even then, it’s a long shot..

TS, PM me if you want more info 

source: ex scs cadet"
194,Yes if you have a transport hr account. Your unit S1 can activate it for you.
195,"Lmao typical chao keng loser. Before you fuckers downvote me, his profile says otherwise. Have fun being a bottom bitch in this here mean green war machine."
196,Ooo whats special about the bunks :o and the toilets are nice?
197,Ah I see thanks bro!
198,"How to get into BMT companies that have female recruits? I know this is gonna sound dumb and that no one really knows how recruits are assigned to each company, but does anyone know under what criteria, can male recruits be sent to BMT companies with female recruits? Like any rumours or theories about it HAHAHA"
199,"Not combat fit, sergeant also cannot tekan. C9 no IPPT. So relax lah."
