index,entity
numerous people,SERVICE
ITE,ORG
the Vocation Assessment,ORG
camp,CAMP
BMT,BMT
BMT,BMT
BMT,BMT
one,CARDINAL
Rangers,ORG
Commando,ORG
camp,CAMP
camp,CAMP
ORD,ORG
my active days,DATE
2,CARDINAL
7 hours,TIME
BMT,BMT
Tekong,GPE
BMT,BMT
the 7 hours,TIME
7 hours,TIME
Tbh,PERSON
the next 2 years,DATE
BMT,BMT
7 hours,TIME
the next day,DATE
session,TRAINING
7 hours,TIME
MIDS Wing,ORG
Navy,ORG
MIDS,ORG
MIDS Wing,GPE
7 hours,TIME
NAVEX,PERSON
no 7 hours,TIME
Taiwan,GPE
5d4n,DATE
3hrs,CARDINAL
the entire 5 days,DATE
Infantry OCC,ORG
days,DATE
60 days,DATE
2 whole months,DATE
100%,PERCENT
100%,PERCENT
HOTEL,ORG
LOWEST,ORG
SAF,ORG
IPS,ORG
Sierra Wing,ORG
the 45 minutes,TIME
45 minutes,TIME
5000,CARDINAL
specialist,MEDICAL
OC,ORG
CO,ORG
PS,ORG
specialist,MEDICAL
P.S.,GPE
ORNS 10 years,DATE
the 2 years,DATE
bmt,BMT
BMT,BMT
the first day,DATE
OOCed,ORG
Marching,GPE
1 hour,TIME
7 hours,TIME
Gucci,PERSON
BMT,BMT
Service,SERVICE
daily,DATE
Some days,DATE
Outfield,PERSON
every 2 weeks,DATE
one,CARDINAL
CHIONG,ORG
every 2 weeks,DATE
ALPHA WING,PERSON
Charlie,PERSON
Lim Chu Kang,PERSON
March,DATE
5km,QUANTITY
Toh,GPE
a few weeks,DATE
2 nights,DATE
6,CARDINAL
3 days,DATE
Alpha,GPE
First,ORDINAL
10,CARDINAL
BMT,BMT
4 hours,TIME
1,CARDINAL
2007,DATE
AIR,ORG
Hotel,PERSON
about 2 weeks,DATE
Navy,ORG
Air Force Wings,ORG
Air,ORG
Golf Wing,PERSON
Navy,ORG
Friday,DATE
night,TIME
Saturday,DATE
friday night,TIME
Air Wing,PERSON
2,CARDINAL
two cents,MONEY
OCS,ORG
service,SERVICE
Service,SERVICE
3 am,TIME
37 year 1999,DATE
Alpha Wing,GPE
Alpha Wing,PERSON
BMT,BMT
One,CARDINAL
the 7 hours,TIME
Refer,PERSON
the 7 hours,TIME
NS,ORG
first,ORDINAL
OCS,ORG
HAHAHAHAHA,ORG
9th,ORDINAL
only two,CARDINAL
one,CARDINAL
bmt,BMT
12 weeks,DATE
bmt,BMT
bmt,BMT
FP,PERSON
9 months,DATE
a few weeks,DATE
the day,DATE
3sg,ORDINAL
Sun Tzu,PERSON
SCS,ORG
SCS,ORG
SCS,ORG
first,ORDINAL
2 months :))),DATE
B1,CARDINAL
Idk,PERSON
bmt,BMT
16,CARDINAL
20-30%,PERCENT
Tekong,GPE
IPPT,IPPT
4 weeks,DATE
bmt,BMT
5 weeks,DATE
vocational training,TRAINING
BMT,BMT
kranji camp,CAMP
the 4 hours,TIME
80%,PERCENT
20%,PERCENT
OCS,ORG
SCS,ORG
SCS,ORG
9pm,TIME
1 month,DATE
bmt,BMT
PES,ORG
PES,ORG
Green Zones,PERSON
Red Zones,LOC
camp,CAMP
Green Zone,GPE
PES,ORG
Zone camp,CAMP
camp,CAMP
Green Zone,GPE
camp,CAMP
Only 1,CARDINAL
bmt,BMT
Singaporean,NORP
PES,ORG
Ways,PERSON
insane people,SERVICE
IMH,ORG
several months,DATE
Insomnia,GPE
Singapore,GPE
PES,ORG
3-year,DATE
4-year,DATE
PES,ORG
2-year,DATE
NS,ORG
3 to 4 years,DATE
2,CARDINAL
MO,MEDICAL
specialist,MEDICAL
IMH,ORG
Medical,MEDICAL
medical,MEDICAL
Medical,MEDICAL
Decide,ORG
cmpb,CMPB
Pes,PERSON
MO,MEDICAL
medical,MEDICAL
checkup,MEDICAL
Obese,NORP
BP,ORG
BP,ORG
bmt,BMT
2 months earlier,DATE
medical,MEDICAL
checkup,MEDICAL
specialist,MEDICAL
Pes C9,PERSON
medical,MEDICAL
checkup,MEDICAL
specialist,MEDICAL
checkup,MEDICAL
MO,MEDICAL
BMT,BMT
PES,ORG
1,CARDINAL
MO,MEDICAL
checkup,MEDICAL
specialist,MEDICAL
specialist,MEDICAL
medical,MEDICAL
MO,MEDICAL
medical,MEDICAL
2 months,DATE
BP,ORG
4 months,DATE
medical,MEDICAL
checkup,MEDICAL
BP,ORG
cmpb,CMPB
1km,QUANTITY
2km after,QUANTITY
a month,DATE
staff,SERVICE
CMPB,CMPB
such people,SERVICE
8-5.30,CARDINAL
nearer,CARDINAL
camp,CAMP
khatib camp,CAMP
camp,CAMP
cmpb,CMPB
mo,MEDICAL
camp,CAMP
cmpb,CMPB
service,SERVICE
S1,PERSON
BMT,BMT
CMPB,CMPB
portal,PORTAL
cmpb,CMPB
3 2017,DATE
2 2019,DATE
the middle of Oct.,DATE
the few days,DATE
mid-,DATE
two years,DATE
camp,CAMP
2,CARDINAL
eHealth,ORG
PES,ORG
Damn Damn,PERSON
first,ORDINAL
Saf,PERSON
A&E,ORG
IMH,ORG
MO,MEDICAL
6 weeks ago,DATE
PES B1,ORG
PES,ORG
PES,ORG
Bravo Company,ORG
560,MONEY
NSTI,ORG
two,CARDINAL
P225,CARDINAL
OCS,ORG
SISPEC,ORG
Platoon,LOC
SAW,ORG
MATADOR,ORG
the SAR 21 P Rails,ORG
AR-15,PRODUCT
ICT,ICT
10000000,CARDINAL
HAHA,ORG
SAF,ORG
bmt,BMT
bmt,BMT
other people,SERVICE
4,CARDINAL
2 months ago,DATE
camp,CAMP
Saturday,DATE
one day,DATE
670,CARDINAL
845,CARDINAL
720,CARDINAL
50,CARDINAL
845,CARDINAL
750,CARDINAL
845,CARDINAL
one,CARDINAL
CSSCOM,ORG
PES C9,ORG
SAF,ORG
PES,ORG
health,MEDICAL
one,CARDINAL
PES,ORG
1,CARDINAL
Pes,PERSON
BMT,BMT
two years,DATE
2,CARDINAL
a few months,DATE
medical,MEDICAL
first,ORDINAL
fit people,SERVICE
NSF,ORG
ORD,ORG
bmt,BMT
four months,DATE
ORD,ORG
POP,ORG
one more month,DATE
ORD,ORG
IPPT,IPPT
SOC/VOC,ORG
ATP,ORG
one,CARDINAL
SAF’s,ORG
BMT,BMT
service,SERVICE
service,SERVICE
10,CARDINAL
ICT,ICT
10 years,DATE
10,CARDINAL
40 years old,DATE
first,ORDINAL
50,DATE
13,CARDINAL
10,CARDINAL
ippt,IPPT
10%,PERCENT
10%,PERCENT
3rd,ORDINAL
10,CARDINAL
P.A,ORG
3sgt,CARDINAL
vocational training,TRAINING
bmt,BMT
Depends,PRODUCT
Sai Kang,PERSON
Finish,NORP
3,CARDINAL
ITE,ORG
them few days ago,DATE
9AELG,GPE
non-AC,PERSON
AC,ORG
1,CARDINAL
about 1 year,DATE
1,CARDINAL
2,CARDINAL
secondary,ORDINAL
3,CARDINAL
like 2 weeks,DATE
4,CARDINAL
1sir,CARDINAL
WSDIP,ORG
3,CARDINAL
cmpb,CMPB
cmpb,CMPB
SAF,ORG
SAF,ORG
AF,ORG
ITE,ORG
TED,ORG
Highest Qualification,ORG
Nitec,NORP
WSDip,LOC
ITE,ORG
RSAF,GPE
next week,DATE
RSAF,ORG
SAF,ORG
Muslims,NORP
MUIS,GPE
Muslims,NORP
BMT,BMT
Muslims,NORP
Muslim,NORP
Muslim,NORP
Muslim,NORP
the end of the day,DATE
actual people,SERVICE
most people,SERVICE
Shaffie,ORDINAL
Islam,GPE
Malay Muslims,NORP
Singapore,GPE
Islamic,NORP
Shaffis,PERSON
Shaffi,ORG
one,CARDINAL
Health,MEDICAL
health,MEDICAL
health,MEDICAL
first,ORDINAL
BMT,BMT
one and a half days,DATE
Other people,SERVICE
2 days,DATE
last year,DATE
Wtf,EVENT
ITE,ORG
B1,CARDINAL
RSN,ORG
RSAF,ORG
the 2 years,DATE
Ya,PERSON
HDB,ORG
IPPT,IPPT
camp,CAMP
PES E9,ORG
2nd,ORDINAL
PES,ORG
PES E9,ORG
0%,PERCENT
PES E9,ORG
NSF,ORG
1 year 10 months to 2 years,DATE
PES,ORG
service,SERVICE
service,SERVICE
PES,ORG
2nd,ORDINAL
PES,ORG
HDB,ORG
BTO,ORG
IPPT,IPPT
BMT,BMT
HDB,ORG
HDB,ORG
first,ORDINAL
20,CARDINAL
NCC HQ,ORG
STS,ORG
SCS,ORG
another one month,DATE
4 months,DATE
Kranji camp,CAMP
1.5 month,DATE
3sg,ORDINAL
NCC HQ,ORG
CQMS,ORG
PES,ORG
medical,MEDICAL
SAF,ORG
specialist,MEDICAL
specialist,MEDICAL
1-2 months,DATE
another 2 months,DATE
MO,MEDICAL
2-3 months,DATE
2,CARDINAL
1-2 months,DATE
PES,ORG
medical,MEDICAL
a penny,MONEY
medical,MEDICAL
MO,MEDICAL
specialist,MEDICAL
7 years,DATE
Govt,ORG
ict,ICT
3 mths,QUANTITY
medical,MEDICAL
6 mths,DATE
specialist,MEDICAL
first,ORDINAL
SAF,ORG
BMT,BMT
SAF,ORG
BMT,BMT
NPCC,ORG
ict,ICT
Depends,PRODUCT
the first 4 week,DATE
Outdoor,GPE
Pm Pm Depends,WORK_OF_ART
OC,ORG
CMPB,CMPB
rt,RT/IPT
Block,ORG
#,CARDINAL
PS,ORG
the days,DATE
POP,ORG
evening,TIME
CMPB,CMPB
july 6th,DATE
october,DATE
ITE,ORG
medical,MEDICAL
Service,SERVICE
two years,DATE
Firstly,ORDINAL
SAF,ORG
GOM,ORG
Secondly,ORDINAL
medical,MEDICAL
SAF,ORG
medical,MEDICAL
#,CARDINAL
MO,MEDICAL
health,MEDICAL
PS,ORG
PS,ORG
SAF,ORG
PS,ORG
1,CARDINAL
BMT,BMT
Singapore,GPE
KrimKarma,ORG
SAF,ORG
1 bigass duffel,QUANTITY
2200ish,DATE
bmt,BMT
session,TRAINING
camp,CAMP
PES,ORG
bmt,BMT
Ya,PERSON
PES,ORG
session,TRAINING
LOL,ORG
session,TRAINING
2,CARDINAL
1,CARDINAL
portal,PORTAL
NS,ORG
Bravo,NORP
the 2 years,DATE
17th,DATE
Yass,ORG
’s,NORP
17th,ORDINAL
PES,ORG
1,CARDINAL
2,CARDINAL
weeks,DATE
months,DATE
2 months,DATE
bmt,BMT
3 months,DATE
one month,DATE
POPed,ORG
Leave,PERSON
2 months,DATE
1 month ago,DATE
1,CARDINAL
1 and a half weeks,DATE
1 month,DATE
3mths,CARDINAL
POP,ORG
BMT,BMT
PES,ORG
BMT,BMT
BMT,BMT
ASA,ORG
Mechanic,ORG
5tons,CARDINAL
Friday,DATE
1730/1800hrs,DATE
ASA,ORG
Charlie,PERSON
staff,SERVICE
1,CARDINAL
2,CARDINAL
ASA,ORG
Thursday,DATE
Kranji Camp,CAMP
Khatib Camp,CAMP
Charlie,GPE
Sgt Had-ji-so,PERSON
first 4 weeks,DATE
Charlie coy,PERSON
ASA,ORG
Section 3,LAW
cmpb,CMPB
a few months,DATE
next week,DATE
next week,DATE
4,CARDINAL
ATB,ORG
1,CARDINAL
camp,CAMP
2,CARDINAL
SATS,GPE
ABGTC,ORG
may’19,DATE
MO,MEDICAL
MO,MEDICAL
Dental,ORG
NDU,ORG
kranji camp,CAMP
2,CARDINAL
LOL Excuse,ORG
Bravo Platoon,ORG
Platoon,LOC
Encik Goh,PERSON
ASA,ORG
bmt,BMT
ASA,ORG
2nd,ORDINAL
the 2 months,DATE
specialist,MEDICAL
camp,CAMP
mo,MEDICAL
NSC,ORG
Guards,ORG
about 4 months,DATE
camp,CAMP
GCC/,ORG
many people,SERVICE
MO,MEDICAL
mo,MEDICAL
Broke,PRODUCT
NS,GPE
specialist,MEDICAL
specialist,MEDICAL
MO,MEDICAL
mo,MEDICAL
1,CARDINAL
specialist,MEDICAL
specialist,MEDICAL
a month,DATE
MO,MEDICAL
specialist,MEDICAL
SAF,ORG
MO,MEDICAL
MO,MEDICAL
specialist,MEDICAL
specialist,MEDICAL
MO,MEDICAL
SAF,ORG
August,DATE
mo,MEDICAL
mo,MEDICAL
health,MEDICAL
Elaborate,ORG
East Coast Singapore,LOC
East Coast,LOC
